Log4j2, CVE-2021-45046
Safari, CVE-2022-22594
Red Hat, impersonation attacks
Fortigate, CVE-2018-13379
Docker, file upload vulnerabilities
WinZip Enterprise, social engineering
Play Store, unwanted apps
Predator, zero-click exploit chains
Microsoft Windows Platform Binary Table, vulnerability
headphones, BrakTooth
deps.dev API, vulnerabilities
Microsoft, compromised credentials
Slack, shadow IT
Data Center, CVE-2022-43782
Junos OS, CVE-2023-36845
Sysrv-K, CVE-2022-22947
BART-BASE, backdoor attacks
AvosLocker, Log4shell
Network Detection & Response, lateral movement
Adobe Comp, hardcoded private Amazon Web Services (AWS) keys
Avaya ERS3500 Series, zero-click vulnerabilities
Snatch, Remote Desktop Protocol (RDP)
Sonos One, CVE-2023-27355
Slides, phishing
PLCs, CVE-2022-31805
AMD Ryzen, covert timing channel in the CPU cache
StripedFly, EternalBlue
SAML, SAML responses
Python, vulnerabilities
dwm.exe, DLL sideloading
Dridex, malicious macros
Artificial Intelligence, vulnerabilities
GraphQL, known vulnerability
Intruder, remote code execution
SIMCheck, man-in-the-middle (MITM)
webserver, CVE-2021-27424
Network Detection and Response, ransomware
SMA 410, eight security vulnerabilities
Nokia 7.2, GhostTouch
Point-to-Point Tunneling Protocol, CVE-2022-41088
Microsoft Exchange Server, CVE-2021-31195
air fryer, remote code execution
Cisco Catalyst Passive Optical Network (PON) Series Switches Optical Network Terminal (ONT), CVE-2021-34795
Epsilon Framework, Arbitrary Options Update vulnerabilities
Mirai, command injection vulnerabilities
Airspan Networks Mimosa, sensitive information
Microsoft Word, CVE-2021-40486
Dev UI, CVE-2022-4116
Microsoft's Azure App Services, server-side request forgery (SSRF)
npm package registry, infostealers
automotive APIs, security vulnerabilities
SFX, CVE-2022-35829
RomCom RAT, CVE-2023-36884
Windows Common Log File System (CLFS) Driver, CVE-2022-24521
RV042G, CVE-2021-1318
Dependabot, security vulnerability
Mozi, DNS spoofing
Sublist3r, zero-day vulnerabilities
UDP, DDoS
VMware Workspace ONE, CVE-2022-22954
Carbon Black App Control, CVE-2021-21998
OAuth, supply chain access attacks
OneDrive, SSL-based attacks
Android apps, n-day security flaws
Octo, credential theft
networking devices, CVE-2020-25686
Microsoft, CVE-2023-5217
Microsoft Office, Disable Excel Macro Warning
Active Directory, CVE-2020-1472
Zabbix Frontend, CVE-2022-23134
EDR, CVE Details
Zero2Automated, bugs
Blink rendering engine, CVE-2021-21193
Microsoft Office, CVE-2022-41043
Google Takeout, n-day security flaws
Windows, CVE-2022-37966
Microsoft Exchange Servers, CVE-2021-34473
Internet Explorer, CVE-2014-6332
Log4j, CVE-2021-44228
Small Business routers, CVE-2021-1348
Microsoft Bing, Log4J vulnerability
Adversarial ML Threat Matrix, model theft
Dev UI Config Editor, CVE-2022-4116
OkCupid, CVE-2020-8913
SaaS applications, data breaches
2920 Series, remote code execution vulnerabilities
curl, CVE-2022-21855
real-time operating systems, remote code execution vulnerabilities
Play Protect, banking trojan
HEVC Video Extensions, CVE-2022-21926
macOS, CVE-2022-22594
Adversarial ML Threat Matrix, training-data poisoning
ransomware-as-a-service, triple extortion
Asuswrt, CVE-2022-26376
SolarWinds Orion, CVE-2018-13379
iOS, CVE-2021-1844
GateManager, CVE-2020-11646
HackerOne, security vulnerabilities
Transparent Inter Process Communication (TIPC), CVE-2021-43267
Palo Alto Networks PAN-OS, CVE-2017-15944
uClibc, unpatched security vulnerability
Microsoft Office, CVE-2021-31179
Airspan Networks Mimosa, arbitrary command injection
CVE-2021-1675, PrintNightmare
Salesforce, policy changes and violations
Cisco, impersonation attacks
AMI MegaRAC Baseboard Management Controller, CVE-2022-40259
USG FLEX, CVE-2023-27991
npm, denial-of-service (DoS)
Microsoft Exchange Server, CVE-2020-0688
Cymulate platform, Supply chain attacks
GateManager, CVE-2020-11641
Marketing & Content Service, cross-site scripting (XSS) bug
OWASP Top 10, Insecure Design
Outlook Web Access, fake digital authentication tokens
FileWave, CVE-2022-34907
Travis CI, stolen OAuth token
GuLoader, EDR bypass
DirtyMoe, EternalBlue
Exchange servers, CVE-2021-26855
PowerShell, uncontrolled access
Microsoft, CVE-2021-34494
Zapoa, vulnerabilities in Exchange Servers
Atlassian, CVE-2021-26084
Indicators of Compromise, account-based detection
SaaS, malicious third party apps
KICS, misconfigurations
Amzetta zPortal DVM Tools, buffer overflow
Android, Coper
Print Spooler, CVE-2021-38667
Foxit Reader, CVE-2020-9596
GPU, GPU.zip
Microsoft Office 365, misconfigurations
Remote Access Plus, CVE-2022-47966
iPhone 13, video-based cryptanalysis
Slack, risky shares
iOS 12.5.3, CVE-2021-30666
FaceTime, firewall bypass
Akamai, DoS amplification attacks
Variston IT, CVE-2022-3038
Candiru, zero-day vulnerabilities
web filtering software, phishing scams
PHP, CVE-2019-11043
AvosLocker, Server Message Block (SMB)
Microsoft Office, macros
Windows, CVE-2022-26904
BIG-IP, CVE-2021-23031
Password Manager Pro, CVE-2022-35405
Cisco Expressway Series, CVE-2022-20813
TOS, CVE-2022-24989
macOS, control-flow hijacking attacks
Network Detection & Response, company websites vulnerabilities
Apple Safari, XS-Leaks
Steam, CVE-2020-6016
Aspera Faspex, CVE-2022-47986
Dell Client BIOS, CVE-2021-21573
DRAM chips, RowHammer
Apple Neural Engine, CVE-2022-32840
Find My, location correlation attack
macOS Ventura 13.1, CVE-2022-42856
Feitian ePass FIDO USB-C / K21, CVE-2021-3011
Supermicro baseboard management controllers, CVE-2023-40286
Hubspot, leaks
macOS, CVE-2023-23520
tvOS, CVE-2021-1871
Microsoft, CVE-2022-26809
KeePass, Log4Shell
Networking devices, MOVEit vulnerability
ROMCOM RAT, CVE-2020-1472
UEFI, CVE-2022-40520
Malwarebytes, security vulnerabilities
third-party applications, critical vulnerabilities
Android, HiddenAds malware
EDR, zero-day wiper exploit
SolarWinds Orion, Solorigate
Enterprise NFV Infrastructure Software, CVE-2022-20780
WhatsApp, spyware
DevOps, exploitable holes
Visual Basic Script, anti-disassembling
cross-site scripting, client-side security vulnerabilities
Unified Extensible Firmware Interface, CVE-2022-21894
MOVEit Transfer, CVE-2023-35708
WhatsApp, account takeover (ATO) attacks
Checkmk, Code Injection vulnerability
Apache ActiveMQ, CVE-2016-3088
SolarWinds Orion, CVE-2019-9670
Axis, unpatched security vulnerability
Microsoft SharePoint Server, CVE-2023-29357
typing-unions, malware
Samsung, vulnerabilities
iPhones, zero-click exploits
Memento, ProxyShell
SWIFT network, vulnerability exploitation
Microsoft Defender, file manipulation attacks
Loki.Rat, CVE-2017-11882
Akaunting v2.1.12, security flaws
Ivanti Avalanche, CVE-2023-32563
Remote PowerShell, ransomware spread
Specops Password Policy, breached password
Mikrotik routers, CVE-2018-14847
Android, CVE-2019-2215
Git, security by obscurity
Microsoft Teams, spoofing bug
ThroughTek P2P products, CVE-2021-32934
Microsoft Windows, CVE-2022-21846
Cybersecurity Advisor Program, vulnerability exploitation
DMARC, malware
Android, backdoor
Threema, Kompromat attack
authenticator apps, database leaks
iOS, string formatting bug
Explorer, Follina
APIs, unauthorized access
Firefox, CVE-2021-43527
V8 JavaScript engine, CVE-2022-3723
SMA 410, CVE-2021-20034
Google Play Store, information-stealing campaign
AWS, vulnerabilities
Cloudflared, distributed denial-of-service (DDoS)
Microsoft Excel, patient-zero infections
NPM package, typosquatted Material Tailwind module
Oscorp, perform gestures
Indusface AppTrana, DDoS attack
Cisco AnyConnect Secure Mobility Client, CVE-2020-3433
GitHub Copilot, outdated APIs or idioms
Chrome 90, arbitrary code execution attacks
Specops Password Policy, zero day vulnerabilities
Apple macOS, CVE-2022-42821
Fedora 34 Workstation, CVE-2021-33909
Traefik, ParseThru
Remote Desktop Protocol, Remote Code Execution vulnerability
WhatsApp, prompt bombing
vRealize Suite Lifecycle Manager, CVE-2022-22958
Microsoft, CVE-2023-36802
Windows Point-to-Point Tunneling Protocol, CVE-2022-38028
Android, phishing
Kaseya Unitrends, privilege escalation
Conti, CVE-2018-13379
iOS, CVE-2021-30955
PC Keyboard, CVE-2022-45483
hardware authentication key, phishing-resistant multi-factor authentication (MFA)
Cloud Access Security Brokers, misconfigurations
Siemens SIMATIC S7-1200, CVE-2020-15782
Microsoft 365, cache bypass
macOS, CVE-2021-30858
npm, typosquatted
OpenAI's ChatGPT, Ducktail
Schneider Electric Modicon programmable logic controllers, CVE-2022-45788
Small Business routers, CVE-2021-1294
SAST, Injection
FortiSwitchManager, CVE-2022-40684
Windows Print Spooler, CVE-2021-36958
Heroku, stolen OAuth token
Amavis, CVE-2022-41352
FinSpy, previously disclosed exploits
ProcBurner, PrintNightmare
LenelS2, CVE-2022-31483
cloud management platforms, CVE-2023-32348
Quasar, Internet Information Services (IIS) servers
Mitsubishi safety programmable logic controllers, denial-of-service (DoS) condition
QTS, CVE-2021-31439
RecordBreaker, zero-day attacks
Exchange Server, CVE-2021-28480
TorchServe, CVE-2022-1471
Accops, privilege escalation
macOS, CVE-2021-30853
Trojan Source, Unicode
HolyLock.exe, CVE-2022-26352
Gloo Portal, unauthorized access
Software as a Service, outdated software
Microsoft Office 365, applications
October CMS, CVE-2021-32648
iPadOS, CVE-2021-1870
Pegasus, BLASTPASS
RTLS Studio, CVE-2022-47911
beautifulsoup, typosquatting
3CXDesktopApp, deployment of second-stage payloads
DefenseScreen, backdoor
VMware ESXi, ESXi servers that do not have the available ESXi software patches applied
Kerberos, lateral movement
Bamboo Data Center, CVE-2023-22506
Pegasus, CVE-2021-30860
Microsoft Entra ID, privilege escalation
Smart Software Manager On-Prem, CVE-2022-20808
JTEKT, OT:ICEFALL
Microsoft Exchange, zero-day vulnerabilities
Microsoft Exchange, Microsoft Exchange Server zero-day vulnerabilities
embedded software development kits, BadAlloc
HTML, CSS Prime+Probe
Citrix ADC, CVE-2022-27510
ncurses, CVE-2023-29491
PCI DSS 4.0, supply chain attacks
Pip, untrusted search path vulnerabilities
@cima/prism-utils, adversary-in-the-middle (AitM) attacks
SaaS apps, compromised credentials
Virtual System Administrator (VSA), CVE-2021-30116
AppTrana, ransomware
Microsoft's Equation Editor, CVE-2017-11882
S3, misconfigured Amazon Web Services (AWS) Simple Storage Service (S3) bucket
Homebrew Cask, critical vulnerability
RITS Browser, address bar spoofing vulnerability
Exchange Server, CVE-2023-38182
WordPress, vulnerabilities in WordPress plugins and themes
5G Standalone core, intercept data traffic
crypto-standarts, typosquatting
mySCADA myPRO, CVE-2023-28400
MalLocker.B, ransomware
American Megatrends (AMI) MegaRAC Baseboard Management Controller (BMC), CVE-2022-40259
SaaS Security Posture Management, security breaches
IoT devices, known vulnerabilities
Cisco IOS XR Software, CVE-2020-3566
QNAP NAS, CVE-2022-23943
Apache Log4j, high-severity vulnerabilities
CNAME cloaking, man-in-the-middle attack
Google Play Store, REQUEST_INSTALL_PACKAGES permission
web shells, unpatched internet-facing services
Memory Integrity System Readiness Scan Tool, CVE-2023-36884
Bluetooth speakers, BrakTooth
VMware Cloud Foundation, CVE-2021-22025
VMware Aria Operations for Networks, CVE-2023-20887
RouterOS, CVE-2023-30799
Pixel 6 modem stack, CVE-2022-20170
Multi-factor Authentication, compromised credentials
Mimikatz, misconfigurations
SHAREit, denial of service
containers, Insufficient Monitoring
Windows, CVE-2016-7255
Samsung Internet Browser, CVE-2022-4262
macOS, CVE-2021-30657
Lenovo consumer notebooks, CVE-2021-3971
Salesforce, shadow IT risks
WooCommerce Stripe Gateway, CVE-2023-34000
SolarWinds, Supply chain attacks
interactive_map_UA.exe, Log4Shell
Mimikatz, unpatched internet-facing services
ExeonTrace, insider threats
Atlassian Confluence Server, CVE-2023-22515
Microsoft's Service Fabric, FabricScape
tvOS 16.2, CVE-2022-42856
Akaunting, security vulnerabilities
.NET Core, CVE-2021-26701
Pentaho Business Analytics versions 9.1 and lower, multiple vulnerabilities
Intruder's automated web application scanner, unpatched flaws
Redmi 8, GhostTouch
CloudEyE, anti-disassembling
PrintNightmare, CVE-2021-34458
DLL Notification Callbacks, threadless process injection
Kinsing, Log4Shell
Cymulate, bugs
Internet Explorer, OverLog
Azure AD, flaw
PowerDMARC's DMARC analyzer, phishing
Debian 12, CVE-2023-4911
Magento 2, CVE-2022-24086
GitHub, exfiltrate encrypted code signing certificates
urlparse, CVE-2023-24329
minimist, CVE-2021-44906
Veritas Backup Exec Agent, CVE-2021-27876
Catalina, CVE-2021-3156
FireEye, compromise
Noise, zero-day flaws
VMware, CVE-2022-31665
Ubuntu, CVE-2021-22600
Zabbix, CVE-2022-23131
GuLoader, anti-debugging
Baseboard Management Controller, CVE-2019-6260
Xerox, CVE-2021-3438
Roblox NPM libraries, compromise
Redis, CVE-2020-4670
retpoline, Retbleed
Microsoft, CVE-2023-23376
Kindle firmware, CVE-2021-30354
standard firmware, CVE-2021-26727
GMS, CVE-2022-22280
Samsung device, CVE-2023-21433
OWASP Top 10, OS command injection
Safari web browser, CVE-2022-22587
SharePoint Online, HTTP(S) flood attacks
Ogg, zero-day vulnerability
QuTS, CVE-2022-23124
Pentera platform, CVE Details
Openfire, CVE-2023-32315
Web DLP, data retention
JavaScript libraries, dependency confusion attacks
WAGO programmable logic controller, CVE-2021-34566
Dnsmasq, CVE-2020-25685
Logical Link Control and Adaptation Protocol, CVE-2020-12351
Malwarebytes, key management
Abcbot, malicious shell script
Messages app, going dark
WebSQL, use-after-free bugs
tvOS, CVE-2022-42856
MISP, spyware
Python packages, supply chain attacks
Wing Security, shadow IT
watchOS, CVE-2023-32409
Wyze Cam, CVE-2019-9564
Exago, CVE-2022-1400
WinZip Enterprise, ransomware
crate registry, typosquatting
BIG-IP Advanced Web Application Firewall, CVE-2021-23031
DVR4216, CVE-2018-9995
Word, CVE-2022-30190
Orion, Supernova
Chromium-based Edge browser, CVE-2023-36884
Microsoft Edge, clipboard-based crypto wallet replacing malware
Windows, keyloggers
SASE, remote desktop protocol (RDP)
Acer, CVE-2022-4020
iOS 12.5.3, CVE-2021-30737
UR35, CVE-2023-43261
Metamorfo, User Account Control (UAC) bypass
Amazon Web Services, valid AWS access tokens
mshta.exe, CVE-2021-36934
iOS 14.3, remote code execution
VMware, CVE-2020-4006
Transparency, Consent and Control (TCC), CVE-2021-30713
Release 8.10.162.0, CVE-2022-20695
Google Cloud Build, Bad.Build
Apple Safari, clipboard poisoning attack
Google Play Store, Joker malware
Gcore, identity theft
GitHub Desktop for Mac, exfiltrate encrypted code signing certificates
Nextcloud, one-click vulnerabilities
SaaS applications, access control weaknesses
Email Security Appliance, CVE-2022-20798
Kindle, CVE-2021-30355
application programming interfaces, API-related breaches
SeaConnect 370W, man-in-the-middle (MitM) attack
WebKit, CVE-2021-1844
Vulnerability Rewards Program, prompt injections
Microsoft Exchange Server, CVE-2021-26701
Apple Silicon CPUs, iLeakage
Apple, CVE-2022-32894
PEAR PHP repository, CVE-2020-36193
Outlook, unauthorized dissemination
Microsoft's Chromium-based Edge browser, zero-day vulnerabilities
NTDLL.dll, EDR bypass
WinRing0.sys, CVE-2020-14979
ExeonTrace, data leakage
DLP, backdoors
PHPUnit, CVE-2017-9841
GitHub, race condition
SaaS applications, SaaS misconfigurations
OAuth 2.0, supply chain access attacks
Crowd Server, CVE-2022-43782
Vault 7, trojans
Cloudflare, HTTP/2 Rapid Reset
Guerilla, intercept SMS messages
Synology DiskStation Manager, CVE-2022-23125
Magento Open Source, CVE-2022-24087
Epsilon Framework, CVE-2022-0215
VMware Workspace ONE Access, CVE-2022-31656
Abcbot, N-day vulnerabilities
Internet Explorer, CVE-2021-26411
Microsoft Windows, MotW bypass flaw
Intel, UEFI/BIOS firmware vulnerabilities
IOMobileFrameBuffer, CVE-2022-22587
NextSeq 550, flaws
Gmail, risky shares
Adaptive Security Device Manager (ASDM), CVE-2021-1585
OAuth, data leaks
Visual Studio, malicious DLL
@am-fe/request, malware
Apple M1, Spectre
NPM package repository, crypto-mining malware
Veritas Backup Exec Agent, CVE-2021-27877
Atlassian Confluence, CVE-2023-22515
Enzoic, compromised passwords
Microsoft Office 365, inadequate legacy protocols
Apple's iCloud Private Relay, flaw
SPF, phishing
CSM, CSM path traversal vulnerability
AppTrana, replay attacks
NGINX Ingress controller, CVE-2023-5043
Chrome web browser, improper authorization flow
Proxy-Agent, CVE-2021-23406
MISP, Trojan horses
Microsoft, CVE-2022-22047
Microsoft Exchange, zero-day flaws
API, misconfigured HTTP headers
Cisco IOS, CVE-2017-6742
monitoring and management tools, supply chain attacks
Java, CWE-400
Microsoft Windows, CVE-2021-31199
Indusface Apptrana, phishing
NetCloud OS, BIAS attacks
GitLab Enterprise Edition, CVE-2022-2884
SaaS, vulnerabilities
Cisco IOx application hosting environment, CVE-2023-20076
Jira Service Management, CVE-2022-0540
Chromium, clipboard-based crypto wallet replacing malware
